AdvancedStats,,,,,,,,,,,,,,,,,
player_id,situation,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8482067,all,2021,0.25,0.28,0,1,4,3,1,8,1,0,0,4,0,4,1
8482067,5on5,2021,0.25,0.28,0,1,4,3,1,8,1,0,0,4,0,4,1
8482067,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482067,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482067,all,2020,0.46,0.46,1,1,4,5,2,11,3,1,0,3,0,8,0
8482067,5on5,2020,0.46,0.45,1,1,4,4,2,10,3,1,0,3,0,7,0
8482067,4on5,2020,0.01,0.01,0,0,0,1,0,1,0,0,0,0,0,0,0
8482067,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482063,all,2020,0.9,0.72,0,0,3,5,4,12,0,0,0,3,3,12,3
8482063,5on5,2020,0.9,0.72,0,0,3,5,4,12,0,0,0,3,2,12,3
8482063,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482063,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8482062,all,2021,0.26,0.25,0,0,3,1,2,6,0,0,0,3,0,21,3
8482062,5on5,2021,0.26,0.25,0,0,3,1,2,6,0,0,0,3,0,21,2
8482062,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8482062,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482062,all,2020,0.07,0.07,0,0,1,0,0,1,0,0,0,1,0,0,0
8482062,5on5,2020,0.07,0.07,0,0,1,0,0,1,0,0,0,1,0,0,0
8482062,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482062,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482061,all,2021,0.03,0.03,0,0,0,1,1,2,0,0,0,0,0,1,0
8482061,5on5,2021,0.03,0.03,0,0,0,1,1,2,0,0,0,0,0,1,0
8482061,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482061,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482055,all,2021,3.77,3.71,1,1,40,14,8,62,5,3,3,37,18,12,9
8482055,5on5,2021,3.56,3.51,1,1,38,13,8,59,5,3,3,35,16,12,9
8482055,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482055,5on4,2021,0.2,0.2,0,0,2,1,0,3,0,0,0,2,2,0,0
8482055,all,2020,0.4,0.41,0,1,8,5,3,16,1,0,0,8,1,6,2
8482055,5on5,2020,0.39,0.4,0,1,7,5,3,15,1,0,0,7,0,6,2
8482055,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482055,5on4,2020,0.01,0.01,0,0,1,0,0,1,0,0,0,1,1,0,0
8481849,all,2021,0.04,0.04,0,0,1,1,4,6,0,0,0,1,0,12,0
8481849,5on5,2021,0.04,0.04,0,0,1,1,4,6,0,0,0,1,0,12,0
8481849,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481849,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481827,all,2021,0.18,0.17,0,0,2,1,1,4,0,0,0,2,0,7,0
8481827,5on5,2021,0.18,0.17,0,0,2,1,1,4,0,0,0,2,0,7,0
8481827,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481827,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481815,all,2021,0.05,0.05,0,0,2,0,1,3,0,0,0,2,0,0,0
8481815,5on5,2021,0.05,0.05,0,0,2,0,1,3,0,0,0,2,0,0,0
8481815,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481815,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481813,all,2020,2.52,2.49,1,0,24,10,16,50,3,2,0,22,139,31,9
