player_id,season,player_name,position,weight,height,team_abbrev
8482110,2021,Dawson Mercer,C,180,"6' 0""",NJD
8482110,2021,Dawson Mercer,C,180,"6' 0""",NJD
8482110,2021,Dawson Mercer,C,180,"6' 0""",NJD
8482110,2021,Dawson Mercer,C,180,"6' 0""",NJD
8482110,2021,Dawson Mercer,C,180,"6' 0""",NJD
8475177,2021,Calvin de Haan,D,195,"6' 1""",CHI
8475177,2021,Calvin de Haan,D,195,"6' 1""",CHI
8475177,2021,Calvin de Haan,D,195,"6' 1""",CHI
8475177,2021,Calvin de Haan,D,195,"6' 1""",CHI
8475177,2021,Calvin de Haan,D,195,"6' 1""",CHI
8478911,2021,Matt Roy,D,NULL,NULL,LAK
8478911,2021,Matt Roy,D,NULL,NULL,LAK
8478911,2021,Matt Roy,D,NULL,NULL,LAK
8478911,2021,Matt Roy,D,NULL,NULL,LAK
8478911,2021,Matt Roy,D,NULL,NULL,LAK
8477425,2021,Miles Wood,L,195,"6' 2""",NJD
8477425,2021,Miles Wood,L,195,"6' 2""",NJD
8477425,2021,Miles Wood,L,195,"6' 2""",NJD
8477425,2021,Miles Wood,L,195,"6' 2""",NJD
8477425,2021,Miles Wood,L,195,"6' 2""",NJD
8474151,2021,Ryan McDonagh,D,215,"6' 1""",TBL
8474151,2021,Ryan McDonagh,D,215,"6' 1""",TBL
8474151,2021,Ryan McDonagh,D,215,"6' 1""",TBL
8474151,2021,Ryan McDonagh,D,215,"6' 1""",TBL
8474151,2021,Ryan McDonagh,D,215,"6' 1""",TBL
8477404,2021,Jake Guentzel,L,180,"5' 11""",PIT
8477404,2021,Jake Guentzel,L,180,"5' 11""",PIT
8477404,2021,Jake Guentzel,L,180,"5' 11""",PIT
8477404,2021,Jake Guentzel,L,180,"5' 11""",PIT
8477404,2021,Jake Guentzel,L,180,"5' 11""",PIT
8481581,2021,Thomas Harley,D,190,"6' 3""",DAL
8481581,2021,Thomas Harley,D,190,"6' 3""",DAL
8481581,2021,Thomas Harley,D,190,"6' 3""",DAL
8481581,2021,Thomas Harley,D,190,"6' 3""",DAL
8481581,2021,Thomas Harley,D,190,"6' 3""",DAL
8477461,2021,Remi Elie,L,215,"6' 1""",TBL
8477461,2021,Remi Elie,L,215,"6' 1""",TBL
8477461,2021,Remi Elie,L,215,"6' 1""",TBL
8477461,2021,Remi Elie,L,215,"6' 1""",TBL
8477461,2021,Remi Elie,L,215,"6' 1""",TBL
8477244,2021,Chad Ruhwedel,D,191,"5' 11""",PIT
8477244,2021,Chad Ruhwedel,D,191,"5' 11""",PIT
8477244,2021,Chad Ruhwedel,D,191,"5' 11""",PIT
8477244,2021,Chad Ruhwedel,D,191,"5' 11""",PIT
8477244,2021,Chad Ruhwedel,D,191,"5' 11""",PIT
8476923,2021,Damon Severson,D,205,"6' 2""",NJD
8476923,2021,Damon Severson,D,205,"6' 2""",NJD
8476923,2021,Damon Severson,D,205,"6' 2""",NJD
8476923,2021,Damon Severson,D,205,"6' 2""",NJD
8476923,2021,Damon Severson,D,205,"6' 2""",NJD
8481003,2021,Hunter Drew,D,191,"6' 2""",ANA
8481003,2021,Hunter Drew,D,191,"6' 2""",ANA
8481003,2021,Hunter Drew,D,191,"6' 2""",ANA
8481003,2021,Hunter Drew,D,191,"6' 2""",ANA
8481003,2021,Hunter Drew,D,191,"6' 2""",ANA
8473419,2021,Brad Marchand,L,181,"5' 9""",BOS
