player_id,season,games_played,penality_minutes,ice_time,game_score,shifts
8479335,2021,80,10.0,68533.0,33.06,1521.0
8476390,2021,1,2.0,415.0,0.78,12.0
8475794,2021,81,30.0,86598.0,45.35,1927.0
8480184,2021,63,22.0,60926.0,4.57,1283.0
8478864,2021,81,34.0,92864.0,112.88,1576.0
8478056,2021,9,6.0,4505.0,0.35,111.0
8477964,2021,81,40.0,79906.0,36.32,1676.0
8476979,2021,59,14.0,57412.0,19.52,1189.0
8480727,2021,59,20.0,66551.0,32.55,1378.0
8475784,2021,80,32.0,82098.0,69.08,1669.0
8479364,2021,8,0.0,4542.0,-0.48,109.0
8474722,2021,1,0.0,558.0,-0.2,13.0
8478550,2021,75,8.0,86501.0,79.58,1491.0
8482654,2021,11,0.0,5992.0,-0.38,160.0
8481624,2021,53,16.0,48524.0,43.66,1105.0
8477494,2021,34,13.0,34873.0,13.06,750.0
8477495,2021,63,24.0,99650.0,38.6,1896.0
8478438,2021,27,2.0,19106.0,9.25,406.0
8476393,2021,68,31.0,50871.0,26.2,1082.0
8480222,2021,36,10.0,35543.0,6.5,792.0
8475958,2021,10,0.0,5937.0,5.38,130.0
8474565,2021,80,32.0,118295.0,65.57,2173.0
8482745,2021,9,2.0,7063.0,2.22,159.0
8476505,2021,2,0.0,1605.0,-0.07,37.0
8479974,2021,25,6.0,17260.0,9.59,403.0
8479362,2021,10,4.0,4319.0,-0.32,111.0
8477401,2021,55,54.0,35797.0,0.57,835.0
8477353,2021,58,22.0,48759.0,16.66,1131.0
8480835,2021,2,2.0,1915.0,2.59,46.0
8480459,2021,82,22.0,83266.0,31.41,1671.0
8474037,2021,82,25.0,79273.0,34.08,1742.0
8475279,2021,74,48.0,101449.0,27.63,1912.0
8479671,2021,10,14.0,6059.0,-0.13,148.0
8476473,2021,57,47.0,74428.0,3.57,1558.0
8480829,2021,66,27.0,47612.0,38.8,1051.0
8479482,2021,15,16.0,14255.0,0.0,290.0
8480839,2021,80,68.0,115269.0,49.45,2317.0
8480072,2021,20,12.0,12738.0,1.63,328.0
8476856,2021,57,47.0,79020.0,28.4,1377.0
8479998,2021,57,8.0,68790.0,21.65,1300.0
8474715,2021,73,10.0,79920.0,47.41,1835.0
8470966,2021,75,47.0,93960.0,44.68,1930.0
8475181,2021,75,22.0,96386.0,9.73,1865.0
8479977,2021,81,30.0,81993.0,39.68,1632.0
8476882,2021,77,24.0,81772.0,69.69,1699.0
8474870,2021,32,16.0,24274.0,0.43,549.0
8475218,2021,76,44.0,107061.0,34.03,2110.0
8480802,2021,71,12.0,54358.0,26.66,1239.0
8481560,2021,80,27.0,60716.0,46.65,1355.0
8477931,2021,75,32.0,60111.0,18.07,1365.0
8479293,2021,30,13.0,26222.0,14.67,635.0
8478967,2021,29,10.0,18302.0,-4.02,418.0
8479344,2021,65,20.0,63302.0,56.65,1252.0
8480005,2021,53,6.0,27572.0,1.67,663.0
8482175,2021,2,0.0,1935.0,0.28,42.0
8481517,2021,36,4.0,19344.0,9.1,443.0
8476913,2021,49,10.0,28111.0,10.1,676.0
8480306,2021,16,4.0,13619.0,0.0,309.0
8474586,2021,79,14.0,85094.0,42.07,1688.0
8479984,2021,56,29.0,44103.0,12.28,938.0
8478458,2021,81,12.0,69407.0,38.71,1522.0
8480289,2021,27,8.0,15875.0,3.29,368.0
8479376,2021,37,4.0,32466.0,3.58,759.0
8478476,2021,45,38.0,43211.0,0.95,982.0
8481559,2021,49,0.0,57522.0,56.23,1089.0
8474149,2021,78,18.0,74048.0,53.09,1556.0
8475754,2021,72,33.0,76355.0,51.6,1615.0
8476467,2021,72,44.0,83518.0,22.33,1713.0
8478416,2021,55,46.0,63205.0,22.75,1313.0
8482671,2021,8,2.0,10601.0,5.55,225.0
8481599,2021,16,6.0,15668.0,-2.6,338.0
8479291,2021,61,18.0,50691.0,2.56,1101.0
8481708,2021,12,0.0,10925.0,-1.2,213.0
8475825,2021,80,33.0,77800.0,9.05,1664.0
8478421,2021,9,2.0,4242.0,4.01,111.0
8475184,2021,81,24.0,91028.0,76.47,1856.0
8479341,2021,34,4.0,31903.0,4.9,728.0
8478021,2021,33,13.0,24909.0,8.58,543.0
8480842,2021,1,0.0,352.0,-0.2,12.0
8475163,2021,67,14.0,46634.0,23.97,1086.0
8477846,2021,67,26.0,50579.0,12.1,1246.0
8477433,2021,19,27.0,15662.0,-2.08,373.0
8480087,2021,1,0.0,306.0,0.07,10.0
8477402,2021,73,34.0,80155.0,73.75,1643.0
8476459,2021,81,12.0,95415.0,74.84,1902.0
8479333,2021,17,8.0,13391.0,-3.55,294.0
8478131,2021,50,14.0,41962.0,30.46,969.0
8478512,2021,17,0.0,11118.0,7.82,258.0
8473415,2021,2,0.0,1574.0,0.0,38.0
8476822,2021,82,15.0,69449.0,15.51,1804.0
8474141,2021,78,18.0,102133.0,83.93,1798.0
8475151,2021,69,47.0,64687.0,31.54,1429.0
8476981,2021,69,55.0,71313.0,28.48,1442.0
8478413,2021,62,69.0,54172.0,27.62,1146.0
8474641,2021,58,14.0,60620.0,43.53,1305.0
8477473,2021,14,6.0,7626.0,-2.01,205.0
8475753,2021,76,33.0,105779.0,50.63,2352.0
8475690,2021,82,22.0,100635.0,46.15,2450.0
8474818,2021,39,10.0,35052.0,4.97,761.0
8478443,2021,79,31.0,93403.0,27.53,2049.0
8482124,2021,40,20.0,29176.0,8.7,682.0
8479373,2021,61,12.0,50479.0,18.46,1207.0
8475765,2021,75,22.0,76101.0,69.87,1649.0
8475160,2021,25,31.0,13196.0,3.87,325.0
8476483,2021,70,12.0,75538.0,50.43,1531.0
8473473,2021,82,64.0,60302.0,25.76,1429.0
8476392,2021,79,49.0,73377.0,21.71,1744.0
8478851,2021,77,50.0,96933.0,30.12,2066.0
8478506,2021,38,10.0,27969.0,8.1,651.0
8477938,2021,43,13.0,41478.0,7.3,901.0
8479983,2021,63,16.0,86943.0,7.57,1721.0
8476931,2021,75,33.0,91379.0,7.55,1923.0
8478567,2021,41,16.0,40078.0,8.67,878.0
8478047,2021,79,60.0,73671.0,78.83,1560.0
8480817,2021,82,24.0,101359.0,27.45,2096.0
8476983,2021,1,0.0,767.0,-0.17,20.0
8475149,2021,69,4.0,66772.0,29.71,1379.0
8480466,2021,1,2.0,818.0,0.07,17.0
8476919,2021,70,14.0,52141.0,13.17,1195.0
8482073,2021,43,9.0,39929.0,3.23,840.0
8477903,2021,76,57.0,61054.0,35.37,1472.0
8475750,2021,69,22.0,70847.0,20.97,1410.0
8477936,2021,1,0.0,874.0,0.2,18.0
8482116,2021,79,37.0,87270.0,55.8,1678.0
8474040,2021,81,32.0,66194.0,24.45,1454.0
8469455,2021,71,26.0,45778.0,26.46,1135.0
8475780,2021,1,0.0,957.0,0.19,21.0
8475913,2021,37,8.0,40722.0,30.55,798.0
8478178,2021,4,0.0,2561.0,0.85,60.0
8481535,2021,60,24.0,47213.0,27.14,1097.0
8477493,2021,67,18.0,81619.0,97.14,1559.0
8477930,2021,80,19.0,66035.0,22.41,1514.0
8478495,2021,73,16.0,62131.0,29.15,1397.0
8475172,2021,71,61.0,81958.0,95.55,1601.0
8481557,2021,47,10.0,43382.0,40.36,784.0
8473512,2021,75,26.0,85732.0,75.13,1863.0
8481580,2021,68,10.0,42710.0,23.81,922.0
8474610,2021,1,0.0,368.0,-0.37,8.0
8479991,2021,41,8.0,27801.0,-0.53,672.0
8475692,2021,70,24.0,78075.0,75.89,1327.0
8474291,2021,33,17.0,27295.0,-4.59,697.0
8479347,2021,29,8.0,14858.0,3.69,327.0
8474062,2021,49,10.0,33597.0,0.52,800.0
8481641,2021,56,10.0,31994.0,9.54,826.0
8478146,2021,46,14.0,35038.0,8.8,894.0
8481598,2021,23,8.0,18588.0,4.28,410.0
8479526,2021,8,0.0,5157.0,1.22,115.0
8476439,2021,41,29.0,23917.0,10.41,612.0
8478846,2021,9,2.0,7936.0,3.13,172.0
8480035,2021,60,20.0,78766.0,16.17,1720.0
8476428,2021,7,2.0,4590.0,1.53,109.0
8477500,2021,70,40.0,81853.0,57.2,1716.0
8477947,2021,66,10.0,60501.0,34.48,1257.0
8477369,2021,64,47.0,67814.0,23.88,1525.0
8478407,2021,73,63.0,90559.0,33.72,1787.0
8478480,2021,2,2.0,1099.0,-1.26,30.0
